feature,importance
PS6_last10_range,0.00043301618174078794
EPS1_mid50_slope,0.00042114280838076657
EPS1_mid50_range,0.0004144916418874116
CP_last25_mean,0.0004088475965352963
TS1_cv,0.0004087812958534438
PS3_last25_min,0.0004048049167164642
TS1_late_mean_shift,0.00040479618287893174
FS2_range,0.0003959447579634932
TS2_mid50_std,0.0003915042725706619
PS1_last25_std,0.0003896881908620621
PS4_mid50_range,0.0003872950938890062
VS1_first25_range,0.00037761578975622226
FS2_last10_std,0.00037128842859350883
PS3_last25_slope,0.0003710247301178068
EPS1_last10_slope,0.0003656385832853045
PS5_mid50_std,0.0003561320416630938
SE_last10_range,0.00034480684860764094
TS1_slope,0.0003446808856050976
PS1_last10_slope,0.0003436792486585145
PS3_mid50_min,0.0003428070584772727
TS2_last25_std,0.0003414015916889136
VS1_mid50_range,0.0003409678474101093
EPS1_slope,0.000335555935290667
PS4_first25_std,0.00033095119752005913
PS5_cv,0.0003276910211801581
TS2_last25_slope,0.00032712836576197153
VS1_range,0.00032479769709559315
TS4_range,0.000317083194211233
TS4_std,0.0003127909977864038
PS3_last10_std,0.0003081907764272271
EPS1_range,0.0002863636158948668
VS1_late_mean_shift,0.0002822949700813782
TS3_delta,0.0002812006724634845
PS2_range,0.0002786271619721334
PS2_first25_range,0.0002775999111790101
TS1_late_instability_shift,0.0002714043399645645
TS1_mid50_slope,0.00027085810493292917
TS1_last25_slope,0.0002707871427511004
VS1_slope,0.0002648881022236545
EPS1_late_mean_shift,0.00026153357314526594
TS2_mid50_range,0.00025890995258366997
SE_last10_slope,0.00025802116794491133
TS2_delta,0.000257065625358681
EPS1_last25_slope,0.00025467783179024457
PS5_range,0.00025019246594779315
EPS1_last25_std,0.0002500412031407817
PS3_last10_min,0.00024575290919848073
PS2_max,0.00024230843268092307
CE_std,0.000241855442978548
PS2_last10_slope,0.00023798907156490285
PS4_late_instability_shift,0.00023749027385884796
TS3_cv,0.0002337685303171424
FS1_last,0.0002336427559869838
VS1_mid50_std,0.00022994321201423736
EPS1_first25_range,0.00022992570400673677
PS6_first25_range,0.00022940665554075303
PS6_range,0.00022034162312763373
PS2_first,0.00020784168548073284
CP_std,0.0002069977878865943
TS2_first25_range,0.00020550144163945366
PS4_mid50_std,0.00020467254976072686
VS1_mid50_slope,0.00020223178890848087
FS2_last25_range,0.0001930283866056912
TS2_last25_range,0.00019173650196139817
TS3_late_mean_shift,0.0001827449364735445
PS4_last25_std,0.0001822297929089135
PS5_last10_range,0.00018145423515807788
PS5_mid50_range,0.00017880205747775995
PS4_last25_range,0.00017859842468924994
FS2_last10_range,0.00017582415931842552
SE_last10_std,0.00017552286184146577
PS6_first25_slope,0.00017363205960633797
PS2_first25_max,0.0001715137064412466
TS4_late_mean_shift,0.000169904657030051
TS3_range,0.00016805526030376215
TS3_mid50_range,0.00016679740203680106
TS3_mid50_slope,0.0001662646972197957
TS3_slope,0.00016604175028878308
VS1_last25_std,0.00016435628729444908
TS1_last25_std,0.00016357798054712034
CE_cv,0.00015979877252462034
PS6_last10_slope,0.00015869898484020662
TS4_mid50_std,0.00015856670534043681
CP_cv,0.00015840380573191673
TS3_first25_slope,0.00015517873451758002
TS3_late_instability_shift,0.00015418070194325145
PS5_late_mean_shift,0.00015326082257675157
PS6_late_mean_shift,0.00015064534149612506
TS2_last10_std,0.00015059295658792054
TS2_last10_slope,0.00014883503340354476
TS1_last10_slope,0.00014832902552242285
TS4_mid50_range,0.00014755080317473956
TS2_last10_range,0.00014708431643937594
CP_first25_slope,0.00014503123562801021
TS4_first25_range,0.00014497669427627498
CP_mid50_std,0.00014216123349440884
VS1_first25_slope,0.0001405837686435852
TS4_first25_std,0.00013976412875864926
PS3_first,0.00013956367603553868
CE_mid50_range,0.00013816320494796657
PS5_first25_range,0.00013751082036998565
TS4_cv,0.00013628190424277729
CE_mid50_std,0.00013561780092776436
PS3_last10_range,0.000134765074895067
PS6_mid50_range,0.0001338761157458737
PS5_first25_slope,0.00013327184333914818
PS5_late_instability_shift,0.00013100890815447223
FS2_first25_range,0.00013071477188136485
TS3_std,0.00012984542384466657
TS4_mid50_slope,0.00012940636009639236
TS3_mid50_std,0.00012820679599238535
CP_last10_slope,0.00012785663358247696
